prompt,completion
"What can be stolen from the Number 024?","Rune Blade (7/8), Blood Sword (1/8)"
"What type of monster is the Number 024?","Humanoid"
"What is the special attack of the Number 024?","Overflow (inflicts 'Confusion')"
"What status effects does the Number 024 resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death"
"How much HP does the Number 024 have?","4777"
"What sketch can be drawn from the Number 024?","Attack (3/4), Overflow (1/4)"
"What abilities can be used while controlling the Number 024?","Attack, Overflow"
"What is the weakness of the Number 128?","Darkness, Critical, Berserk, Slow"
"Where is the Number 128 located?","Magitek Research Facility (Mine Cart; Boss)"
"What does the Number 128 drop?","Tent (Always)"
"What can be stolen from the Number 128?","Kazekiri (1/8)"
"What is the special attack of the Number 128?","Blood Feast (steals HP)"
"What status effects does the Number 128 resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Number 128 absorb?","Ice"
"How much HP does the Number 128 have?","3276"
"What sketch can be drawn from the Number 128?","Attack (3/4), Blood Feast (1/4)"
"What abilities can be used while controlling the Number 128?","Attack, Blood Feast"
"What is the Right Blade known as on the SNES?","RightBlade"
"What is the weakness of the Right Blade?","Petrify, Death, Doom, Critical, Slow, Stop"
"Where is the Right Blade located?","Magitek Research Facility (Mine Cart; Part of Boss)"
"What can be stolen from the Right Blade?","Ether (1/8)"
"What is the special attack of the Right Blade?","Rapier (150% damage)"
"What status effects does the Right Blade resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image"
"What status effects does the Right Blade absorb?","Ice"
"How much HP does the Right Blade have?","400"
"What sketch can be drawn from the Right Blade?","Attack (3/4), Rapier (1/4)"
"What abilities can be used while controlling the Right Blade?","Attack, Rapier"
"What is the weakness of the Left Blade?","Petrify, Death, Doom, Critical, Slow, Stop"
"Where is the Left Blade located?","Magitek Research Facility (Mine Cart; Part of Boss)"
"What can be stolen from the Left Blade?","Ether (1/8)"
"What is the special attack of the Left Blade?","Slash (200% damage)"
"What status effects does the Left Blade resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image"
"What status effects does the Left Blade absorb?","Ice"
"How much HP does the Left Blade have?","700"
"What sketch can be drawn from the Left Blade?","Attack (3/4), Slash (1/4)"
"What abilities can be used while controlling the Left Blade?","Attack, Slash"
"What is the weakness of the Crane?","Slow"
"Where is the Crane located?","Airship (After escaping from Magitek Research Facility)"
"What can be stolen from the Crane?","Noiseblaster (1/8)"
"What is the special attack of the Crane?","Wrecking Ball (150% damage)"
"What status effects does the Crane resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Crane absorb?","Lightning"
"How much HP does the Crane have?","1800"
"What sketch can be drawn from the Crane?","Attack (3/4), Wrecking Ball (1/4)"
"What abilities can be used while controlling the Crane?","Attack, Wrecking Ball"
"What is the weakness of the Crane?","Slow"
"Where is the Crane located?","Airship (After escaping from Magitek Research Facility)"
"What can be stolen from the Crane?","Hi-Potion (7/8), Debilitator (1/8)"
"What is the special attack of the Crane?","Wrecking Ball (200% damage)"
"What status effects does the Crane resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Crane absorb?","Fire"
"How much HP does the Crane have?","2300"
"What sketch can be drawn from the Crane?","Attack (3/4), Wrecking Ball (1/4)"
"What abilities can be used while controlling the Crane?","Attack, Wrecking Ball"
"What is the Flame Eater known as on the SNES?","FlameEater"
"What is the weakness of the Flame Eater?","Slow"
"Where is the Flame Eater located?","Thamasa (Burning House)"
"What can be stolen from the Flame Eater?","Flametongue (7/8)"
"What is the special attack of the Flame Eater?","Hit (150% damage)"
"What status effects does the Flame Eater resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Flame Eater absorb?","Fire"
"How much HP does the Flame Eater have?","8400"
"What sketch can be drawn from the Flame Eater?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Flame Eater?","Attack, Hit"
"What elements does the Flame Eater resist?","Lightning, Poison, Holy, Earth"
"What is the weakness of the Ultros?","Darkness, Image, Slow, Stop"
"Where is the Ultros located?","Esper Caves"
"What can be stolen from the Ultros?","White Cape (7/8)"
"What is the special attack of the Ultros?","Ink (standard damage, inflicts 'Darkness')"
"What status effects does the Ultros resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Ultros absorb?","Water"
"How much HP does the Ultros have?","22000"
"What sketch can be drawn from the Ultros?","Tentacle (Always)"
"What abilities can be used while controlling the Ultros?","Attack, Ink"
"What is the Typhon known as on the SNES?","Chupon"
"What is the weakness of the Typhon?","Darkness, Image, Silence, Berserk, Sleep, Slow, Stop"
"Where is the Typhon located?","Airship (During flight to Floating Continent)"
"What can be stolen from the Typhon?","Dagger (7/8)"
"What is the special attack of the Typhon?","Hit (inflicts 'Poison')"
"What status effects does the Typhon resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Typhon absorb?","Fire"
"How much HP does the Typhon have?","10000"
"What rage can be learned from the Typhon?","Tornado"
"What sketch can be drawn from the Typhon?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Typhon?","Attack, Hit"
"What is the weakness of the Ultros?","Darkness, Image, Slow"
"Where is the Ultros located?","Airship (During flight to Floating Continent)"
"What can be stolen from the Ultros?","Dried Meat (7/8)"
"What is the special attack of the Ultros?","Octopus Ink (standard damage, inflicts 'Darkness')"
"What status effects does the Ultros resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Ultros absorb?","Water"
"How much HP does the Ultros have?","17000"
"What sketch can be drawn from the Ultros?","Attack (3/4), Octopus Ink (1/4)"
"What abilities can be used while controlling the Ultros?","Attack, Octopus Ink"
"Where is the Air Force located?","Air (After you get blown off Blackjack by Typhon)"
"What does the Air Force drop?","Princess Ring (Always)"
"What can be stolen from the Air Force?","Elixir (7/8)"
"What is the special attack of the Air Force?","Hit (150% damage)"
"What status effects does the Air Force resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Air Force have?","8000"
"What sketch can be drawn from the Air Force?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Air Force?","Attack, Hit"
"What is the weakness of the Laser Gun?","Slow, Stop"
"Where is the Laser Gun located?","Air (After you get blown off Blackjack by Typhon)"
"What can be stolen from the Laser Gun?","X-Ether (7/8)"
"What is the special attack of the Laser Gun?","Hit (150% damage)"
"What status effects does the Laser Gun resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Laser Gun have?","3300"
"What sketch can be drawn from the Laser Gun?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Laser Gun?","Attack, Hit"
"What is the Missile Bay known as on the SNES?","MissileBay"
"What is the weakness of the Missile Bay?","Slow, Stop"
"Where is the Missile Bay located?","Air (After you get blown off Blackjack by Typhon)"
"What can be stolen from the Missile Bay?","Debilitator (1/8)"
"What is the special attack of the Missile Bay?","Hit (150% damage)"
"What status effects does the Missile Bay resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Missile Bay have?","3000"
"What sketch can be drawn from the Missile Bay?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Missile Bay?","Attack, Hit"
"What is the Bit known as on the SNES?","Speck"
"What is the weakness of the Bit?","Slow, Stop"
"Where is the Bit located?","Air (After you get blown off Blackjack by Typhon)"
"What can be stolen from the Bit?","Amulet (1/8)"
"What is the special attack of the Bit?","Hit (150% damage)"
"What status effects does the Bit resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Bit have?","420"
"What sketch can be drawn from the Bit?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Bit?","Attack, Hit"
"What is the weakness of the Gigantos?","Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Sap, Slow, Stop"
"Where is the Gigantos located?","Floating Continent (Monster-in-a-box; East of first Warp Tunnel)"
"What does the Gigantos drop?","Sasuke (Always)"
"What can be stolen from the Gigantos?","X-Potion (7/8), Elixir (1/8)"
"What type of monster is the Gigantos?","Humanoid"
"What is the special attack of the Gigantos?","Throat Jab (500% damage)"
"What status effects does the Gigantos resist?","Invisible, Confusion, Sleep"
"How much HP does the Gigantos have?","6000"
"What rage can be learned from the Gigantos?","Magnitude 8"
"What sketch can be drawn from the Gigantos?","Attack (3/4), Throat Jab (1/4)"
"What abilities can be used while controlling the Gigantos?","Attack, Throat Jab, Revenge Blast"
"What is the Ultima Weapon known as on the SNES?","AtmaWeapon"
"What is the weakness of the Ultima Weapon?","Darkness, MagiTek, Image, Sap, Slow"
"Where is the Ultima Weapon located?","Floating Continent"
"What does the Ultima Weapon drop?","Elixir (Always)"
"What can be stolen from the Ultima Weapon?","Elixir (7/8), Ribbon (1/8)"
"What is the special attack of the Ultima Weapon?","Full Power (200% damage)"
"What status effects does the Ultima Weapon resist?","Zombie, Poison, Invisible, Imp, Petrify, Death, Doom"
"How much HP does the Ultima Weapon have?","24000"
"What sketch can be drawn from the Ultima Weapon?","Attack (3/4), Full Power (1/4)"
"What abilities can be used while controlling the Ultima Weapon?","Attack, Full Power"
"What is the Nelapa known as on the SNES?","Nerapa"
"What is the weakness of the Nelapa?","Death, Doom, Berserk, Confusion, Stop"
"Where is the Nelapa located?","Floating Continent (While trying to escape)"
"What type of monster is the Nelapa?","Humanoid"
"What is the special attack of the Nelapa?","Hit (150% damage)"
"What status effects does the Nelapa resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Nelapa absorb?","Fire"
"How much HP does the Nelapa have?","2800"
"What sketch can be drawn from the Nelapa?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Nelapa?","Attack, Hit"
"What elements does the Nelapa resist?","Poison, Wind, Earth, Water"
"What is the Humbaba known as on the SNES?","Phunbaba"
"What is the weakness of the Humbaba?","Darkness, Image, Sleep"
"Where is the Humbaba located?","Mobliz (2nd fight) [WoR]"
"What is the special attack of the Humbaba?","Solar Plexus (300% damage)"
"What status effects does the Humbaba resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Humbaba absorb?","Lightning"
"How much HP does the Humbaba have?","26000"
"What sketch can be drawn from the Humbaba?","Attack (3/4), Solar Plexus (1/4)"
"What abilities can be used while controlling the Humbaba?","Attack, Solar Plexus"
"What is the Tentacle (Bottom-Right) known as on the SNES?","Tentacle"
"What is the weakness of the Tentacle (Bottom-Right)?","Darkness, Poison, Petrify, Image, Silence, Sleep, Slow"
"Where is the Tentacle (Bottom-Right) located?","Figaro Castle (Engine Room) [WoR]"
"What is the special attack of the Tentacle (Bottom-Right)?","Stun (inflicts 'Slow')"
"What status effects does the Tentacle (Bottom-Right) resist?","Zombie, MagiTek, Invisible, Imp, Death, Doom, Critical"
"What status effects does the Tentacle (Bottom-Right) absorb?","Fire"
"How much HP does the Tentacle (Bottom-Right) have?","7000"
"What sketch can be drawn from the Tentacle (Bottom-Right)?","Attack (3/4), Stun (1/4)"
"What abilities can be used while controlling the Tentacle (Bottom-Right)?","Attack, Stun"
"What is the Tentacle (Top-Right) known as on the SNES?","Tentacle"
"What is the weakness of the Tentacle (Top-Right)?","Darkness, Poison, Petrify, Image, Silence, Sleep, Slow"
"Where is the Tentacle (Top-Right) located?","Figaro Castle (Engine Room) [WoR]"
"What is the special attack of the Tentacle (Top-Right)?","Stun (inflicts 'Slow')"
"What status effects does the Tentacle (Top-Right) resist?","Zombie, MagiTek, Invisible, Imp, Death, Doom, Critical"
"What status effects does the Tentacle (Top-Right) absorb?","Lightning, Water"
"How much HP does the Tentacle (Top-Right) have?","5000"
"What sketch can be drawn from the Tentacle (Top-Right)?","Attack (3/4), Stun (1/4)"
"What abilities can be used while controlling the Tentacle (Top-Right)?","Attack, Stun"
"What is the Tentacle (Bottom-Left) known as on the SNES?","Tentacle"
"What is the weakness of the Tentacle (Bottom-Left)?","Darkness, Poison, Death, Doom, Image, Sap, Slow"
"Where is the Tentacle (Bottom-Left) located?","Figaro Castle (Engine Room) [WoR]"
"What is the special attack of the Tentacle (Bottom-Left)?","Stun (inflicts 'Slow')"
"What status effects does the Tentacle (Bottom-Left) resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Critical, Silence"
"What status effects does the Tentacle (Bottom-Left) absorb?","Ice, Water"
"How much HP does the Tentacle (Bottom-Left) have?","6000"
"What sketch can be drawn from the Tentacle (Bottom-Left)?","Attack (3/4), Stun (1/4)"
"What abilities can be used while controlling the Tentacle (Bottom-Left)?","Attack, Stun"
"What is the Tentacle (Top-Left) known as on the SNES?","Tentacle"
"What is the weakness of the Tentacle (Top-Left)?","Petrify, Critical, Image, Sap, Slow, Stop"
"Where is the Tentacle (Top-Left) located?","Figaro Castle (Engine Room) [WoR]"
"What is the special attack of the Tentacle (Top-Left)?","Stun (inflicts 'Slow')"
"What status effects does the Tentacle (Top-Left) resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death"
"What status effects does the Tentacle (Top-Left) absorb?","Earth, Water"
"How much HP does the Tentacle (Top-Left) have?","4000"
"What sketch can be drawn from the Tentacle (Top-Left)?","Attack (3/4), Stun (1/4)"
"What abilities can be used while controlling the Tentacle (Top-Left)?","Attack, Stun"
"What is the Angler Whelk (Shell) known as on the SNES?","Presenter"
"What is the weakness of the Angler Whelk (Shell)?","Petrify, Death, Doom"
"Where is the Angler Whelk (Shell) located?","Darill's Tomb [WoR]"
"What does the Angler Whelk (Shell) drop?","Dragon Claws (Always)"
"What is the special attack of the Angler Whelk (Shell)?","Hit (150% damage)"
"What status effects does the Angler Whelk (Shell) resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Critical"
"What status effects does the Angler Whelk (Shell) absorb?","Ice, Lightning, Water"
"How much HP does the Angler Whelk (Shell) have?","9230"
"What sketch can be drawn from the Angler Whelk (Shell)?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Angler Whelk (Shell)?","Attack, Hit"
"What is the Angler Whelk (Head) known as on the SNES?","Whelk Head"
"What is the weakness of the Angler Whelk (Head)?","Darkness, Petrify, Death, Doom, Silence, Sleep, Slow, Stop"
"Where is the Angler Whelk (Head) located?","Darill's Tomb [WoR]"
"What does the Angler Whelk (Head) drop?","Dragon Claws (Always)"
"What is the special attack of the Angler Whelk (Head)?","Petriblast (inflicts 'Petrify')"
"What status effects does the Angler Whelk (Head) resist?","Zombie, Poison, MagiTek, Invisible, Imp, Critical, Image"
"What status effects does the Angler Whelk (Head) absorb?","Ice, Lightning, Water"
"How much HP does the Angler Whelk (Head) have?","9845"
"What sketch can be drawn from the Angler Whelk (Head)?","Attack (3/4), Petriblast (1/4)"
"What abilities can be used while controlling the Angler Whelk (Head)?","Attack, Petriblast"
"What elements does the Angler Whelk (Head) resist?","Poison"
"What is the weakness of the Dullahan?","Darkness, MagiTek, Image, Sap, Slow"
"Where is the Dullahan located?","Darill's Tomb (Boss) [WoR]"
"What can be stolen from the Dullahan?","X-Potion (7/8), Genji Glove (1/8)"
"What is the special attack of the Dullahan?","Morning Star (200% damage)"
"What status effects does the Dullahan resist?","Zombie, Poison, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Dullahan absorb?","Ice"
"How much HP does the Dullahan have?","23450"
"What sketch can be drawn from the Dullahan?","Attack (3/4), Morning Star (1/4)"
"What abilities can be used while controlling the Dullahan?","Attack, Morning Star"
"What is the Behemoth King known as on the SNES?","SrBehemoth"
"What is the weakness of the Behemoth King?","Darkness, Imp, Doom, Image, Slow, Stop"
"Where is the Behemoth King located?","Cave on the Veldt [WoR]"
"What does the Behemoth King drop?","Behemoth Suit (Always)"
"What can be stolen from the Behemoth King?","Murasame (1/8)"
"What is the special attack of the Behemoth King?","Devil Claw (unblockable; standard damage, removes 'Reflect')"
"What status effects does the Behemoth King resist?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Critical"
"What status effects does the Behemoth King absorb?","Ice"
"How much HP does the Behemoth King have?","19000"
"What rage can be learned from the Behemoth King?","Firaga"
"What sketch can be drawn from the Behemoth King?","Attack (3/4), Devil Claw (1/4)"
"What abilities can be used while controlling the Behemoth King?","Attack, Devil Claw"
"What is the Behemoth King (Undead) known as on the SNES?","SrBehemoth"
"What is the weakness of the Behemoth King (Undead)?","Darkness, Zombie, MagiTek, Death, Doom, Critical"
"Where is the Behemoth King (Undead) located?","Cave on the Veldt [WoR]"
"What does the Behemoth King (Undead) drop?","Behemoth Suit (Always)"
"What type of monster is the Behemoth King (Undead)?","Undead"
"What is the special attack of the Behemoth King (Undead)?","Sleeping Gas (inflicts 'Sleep')"
"What status effects does the Behemoth King (Undead) resist?","Poison, Invisible, Imp, Petrify, Image, Silence, Berserk"
"What status effects does the Behemoth King (Undead) absorb?","Poison"
"How much HP does the Behemoth King (Undead) have?","19000"
"What rage can be learned from the Behemoth King (Undead)?","Firaga"
"What sketch can be drawn from the Behemoth King (Undead)?","Firaga (3/4), Sleeping Gas (1/4)"
"What abilities can be used while controlling the Behemoth King (Undead)?","Attack, Attack, Attack, Attack"
"What is the weakness of the Chadarnook?","Darkness, MagiTek, Critical, Image, Slow"
"Where is the Chadarnook located?","Owzer's Mansion [WoR] Note: There are two enemies here (toggle between by pressing left/right in the Bestiary. Left is the Esper Lakshmi, Right is the Demon (the real enemy) You can see the Esper's Bestiary entry as #15 in the Unlisted Monsters section (Section 6)"
"What is the special attack of the Chadarnook?","Hit (inflicts 'Doom')"
"What status effects does the Chadarnook resist?","Zombie, Poison, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Chadarnook absorb?","Lightning"
"How much HP does the Chadarnook have?","30000"
"What sketch can be drawn from the Chadarnook?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Chadarnook?","Attack, Hit"
"What is the Valigarmanda known as on the SNES?","Tritoch"
"What is the weakness of the Valigarmanda?","Darkness, Zombie, MagiTek, Image, Sap"
"Where is the Valigarmanda located?","Narshe Cliffs [WoR]"
"What is the special attack of the Valigarmanda?","Hit (150% damage)"
"What status effects does the Valigarmanda resist?","Poison, Invisible, Imp, Petrify, Death, Doom, Critical"
"What status effects does the Valigarmanda absorb?","Ice"
"How much HP does the Valigarmanda have?","30000"
"What sketch can be drawn from the Valigarmanda?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Valigarmanda?","Attack, Hit"
"What elements does the Valigarmanda resist?","Lightning, Poison, Wind, Holy, Earth, Water"
"What is the Tonberries known as on the SNES?","Pugs"
"What is the weakness of the Tonberries?","Darkness, Zombie, Poison, MagiTek, Imp, Image, Silence, Sap, Slow"
"Where is the Tonberries located?","Yeti's Cave (Monster-in-a-Box) [WoR]"
"What does the Tonberries drop?","Minerva Bustier (1/8)"
"What can be stolen from the Tonberries?","Minerva Bustier (1/8)"
"What is the special attack of the Tonberries?","Knife (800% damage)"
"What status effects does the Tonberries resist?","Invisible, Petrify, Death, Doom, Critical, Berserk, Confusion"
"What status effects does the Tonberries absorb?","Water"
"How much HP does the Tonberries have?","14001"
"What sketch can be drawn from the Tonberries?","Attack (Always)"
"What abilities can be used while controlling the Tonberries?","Attack"
"What is the Yeti known as on the SNES?","Umaro"
"What is the weakness of the Yeti?","Darkness, Poison, Image, Berserk, Sleep, Slow"
"Where is the Yeti located?","Yeti's Cave (Umaro's Room) [WoR]"
"What type of monster is the Yeti?","Humanoid"
"What is the special attack of the Yeti?","Tackle (300% damage)"
"What status effects does the Yeti resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Yeti absorb?","Ice"
"How much HP does the Yeti have?","17200"
"What sketch can be drawn from the Yeti?","Attack (3/4), Tackle (1/4)"
"What abilities can be used while controlling the Yeti?","Attack, Tackle"
"What is the Curlax known as on the SNES?","Curley"
"What is the weakness of the Curlax?","Darkness, Sleep"
"Where is the Curlax located?","Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR]"
"What type of monster is the Curlax?","Humanoid"
"What is the special attack of the Curlax?","Hit (200% damage)"
"What status effects does the Curlax resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Curlax absorb?","Fire"
"How much HP does the Curlax have?","15000"
"What sketch can be drawn from the Curlax?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Curlax?","Attack, Hit"
"What is the Laragorn known as on the SNES?","Larry"
"What is the weakness of the Laragorn?","Darkness, Death, Doom, Image, Silence, Confusion, Slow"
"Where is the Laragorn located?","Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR]"
"What type of monster is the Laragorn?","Humanoid"
"What is the special attack of the Laragorn?","Hit (200% damage)"
"What status effects does the Laragorn resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Critical"
"What status effects does the Laragorn absorb?","Ice, Wind"
"How much HP does the Laragorn have?","10000"
"What sketch can be drawn from the Laragorn?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Laragorn?","Attack, Hit"
"What is the Moebius known as on the SNES?","Moe"
"What is the weakness of the Moebius?","Darkness, Image, Berserk, Stop"
"Where is the Moebius located?","Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR]"
"What type of monster is the Moebius?","Humanoid"
"What is the special attack of the Moebius?","Hit (200% damage)"
"What status effects does the Moebius resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Moebius absorb?","Lightning"
"How much HP does the Moebius have?","12500"
"What sketch can be drawn from the Moebius?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Moebius?","Attack, Hit"
"What is the weakness of the Wrexsoul?","Darkness, Image"
"Where is the Wrexsoul located?","Cyan's Dream/Dreamscape (Doma Castle) [WoR]"
"What does the Wrexsoul drop?","Guard Bracelet (Always)"
"What can be stolen from the Wrexsoul?","Memento Ring (1/8)"
"What is the special attack of the Wrexsoul?","Doom Strike (inflicts 'Doom')"
"What status effects does the Wrexsoul resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Wrexsoul absorb?","Fire, Holy"
"How much HP does the Wrexsoul have?","23066"
"What sketch can be drawn from the Wrexsoul?","Attack (3/4), Doom Strike (1/4)"
"What abilities can be used while controlling the Wrexsoul?","Attack, Doom Strike"
"What is the Soul Saver known as on the SNES?","SoulSaver"
"What is the weakness of the Soul Saver?","Darkness, Zombie, MagiTek, Petrify, Death, Doom, Critical, Image, Berserk, Confusion, Slow"
"Where is the Soul Saver located?","Cyan's Dream/Dreamscape (Doma Castle) [WoR]"
"What type of monster is the Soul Saver?","Humanoid"
"What is the special attack of the Soul Saver?","Magic Drain (steals MP)"
"What status effects does the Soul Saver resist?","Poison, Invisible, Imp, Silence, Sap, Sleep, Stop"
"What status effects does the Soul Saver absorb?","Fire, Holy"
"How much HP does the Soul Saver have?","3066"
"What sketch can be drawn from the Soul Saver?","Attack (3/4), Magic Drain (1/4)"
"What abilities can be used while controlling the Soul Saver?","Attack, Magic Drain"
"What is the Master Tonberry known as on the SNES?","Master Pug"
"What is the weakness of the Master Tonberry?","Darkness, Poison, Image, Sleep, Slow"
"Where is the Master Tonberry located?","Cave to the Ancient Castle (Monster-in-a-Box) [WoR]"
"What does the Master Tonberry drop?","Gladius (Always)"
"What can be stolen from the Master Tonberry?","Elixir (7/8), Megalixir (1/8)"
"What is the special attack of the Master Tonberry?","Knife (800% damage)"
"What status effects does the Master Tonberry resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Master Tonberry absorb?","Water"
"How much HP does the Master Tonberry have?","22000"
"What sketch can be drawn from the Master Tonberry?","Attack (3/4), Knife (1/4)"
"What abilities can be used while controlling the Master Tonberry?","Attack, Knife"
"What is the Samurai Soul known as on the SNES?","KatanaSoul"
"What is the weakness of the Samurai Soul?","Darkness, Poison, Image, Confusion, Sap"
"Where is the Samurai Soul located?","Ancient Castle (West of Entrance) [WoR]"
"What does the Samurai Soul drop?","Master's Scroll (Always)"
"What can be stolen from the Samurai Soul?","Murasame (7/8), Murakumo (1/8)"
"What type of monster is the Samurai Soul?","Humanoid"
"What is the special attack of the Samurai Soul?","Assassin Blade (inflicts 'Death')"
"What status effects does the Samurai Soul resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom"
"How much HP does the Samurai Soul have?","37620"
"What sketch can be drawn from the Samurai Soul?","Attack (3/4), Assassin Blade (1/4)"
"What abilities can be used while controlling the Samurai Soul?","Attack, Assassin Blade"
"What is the Magic Master known as on the SNES?","MagiMaster"
"What is the weakness of the Magic Master?","Berserk"
"Where is the Magic Master located?","Cultists' Tower (Roof after getting Soul of Thamasa) [WoR]"
"What does the Magic Master drop?","Megalixir (Always)"
"What can be stolen from the Magic Master?","Elixir (7/8), Crystal Orb (1/8)"
"What type of monster is the Magic Master?","Humanoid"
"What is the special attack of the Magic Master?","Hit (150% damage)"
"What status effects does the Magic Master resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Magic Master have?","50000"
"What sketch can be drawn from the Magic Master?","Attack (Always)"
"What abilities can be used while controlling the Magic Master?","Attack, Ultima"
"What is the Deathgaze known as on the SNES?","Doom Gaze"
"What is the weakness of the Deathgaze?","MagiTek, Image"
"Where is the Deathgaze located?","Airship (Fly around until you find him) [WoR]"
"What is the special attack of the Deathgaze?","Venom Claw (inflicts 'Poison')"
"What status effects does the Deathgaze resist?","Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death"
"What status effects does the Deathgaze absorb?","Ice, Poison"
"How much HP does the Deathgaze have?","55555"
"What sketch can be drawn from the Deathgaze?","Attack (3/4), Venom Claw (1/4)"
"What abilities can be used while controlling the Deathgaze?","Attack, Venom Claw"
"What is the weakness of the Hidon?","MagiTek, Critical, Image, Slow"
"Where is the Hidon located?","Ebot's Rock (Past Coral-eating chest) [WoR]"
"What does the Hidon drop?","Teleport Stone (Always)"
"What can be stolen from the Hidon?","Teleport Stone (7/8), Thornlet (1/8)"
"What type of monster is the Hidon?","Undead"
"What is the special attack of the Hidon?","Hit (150% damage)"
"What status effects does the Hidon resist?","Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death"
"What status effects does the Hidon absorb?","Poison"
"How much HP does the Hidon have?","25000"
"What sketch can be drawn from the Hidon?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Hidon?","Attack, Hit"
"What is the Erebus known as on the SNES?","Hidonite"
"What is the weakness of the Erebus?","Darkness, Poison, MagiTek, Petrify, Death, Doom, Critical, Image, Silence, Sap, Slow, Stop"
"Where is the Erebus located?","Ebot's Rock (During fight with Hidon) [WoR]"
"What is the special attack of the Erebus?","Poison Claw (inflicts 'Poison')"
"What status effects does the Erebus resist?","Zombie, Invisible, Imp, Berserk, Confusion, Sleep"
"What status effects does the Erebus absorb?","Poison"
"How much HP does the Erebus have?","3500"
"What sketch can be drawn from the Erebus?","Attack (3/4), Poison Claw (1/4)"
"What abilities can be used while controlling the Erebus?","Attack, Poison Claw"
"What is the Erebus known as on the SNES?","Hidonite"
"What is the weakness of the Erebus?","Darkness, Zombie, Poison, MagiTek, Petrify, Critical, Image, Berserk, Sap"
"Where is the Erebus located?","Ebot's Rock (During fight with Hidon) [WoR]"
"What is the special attack of the Erebus?","Confuse Claw (inflicts 'Confusion')"
"What status effects does the Erebus resist?","Invisible, Imp, Death, Doom, Silence, Confusion, Sleep"
"What status effects does the Erebus absorb?","Fire, Ice, Lightning, Poison, Wind, Holy, Water"
"How much HP does the Erebus have?","3500"
"What sketch can be drawn from the Erebus?","Attack (3/4), Confuse Claw (1/4)"
